Date:  18:54; domingo; agosto 31; 2025
Model name: Prot 2
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
9434  ,1.394e+02   ,-214.19  ,18  ,209
9435  ,1.396e+02   ,-201.49  ,18  ,209
9436  ,1.400e+02   ,-190.89  ,18  ,209
9437  ,1.401e+02   ,-181.21  ,18  ,209
9438  ,1.398e+02   ,-171.05  ,18  ,209
9439  ,1.394e+02   ,-158.72  ,18  ,209
9440  ,1.396e+02   ,-144.13  ,18  ,209
9441  ,1.402e+02   ,-131.33  ,18  ,209
9442  ,1.408e+02   ,-120.61  ,18  ,209
9443  ,1.409e+02   ,-110.44  ,18  ,209
9444  ,1.408e+02   ,-99.471  ,18  ,209
9445  ,1.408e+02   ,-86.654  ,18  ,209
9446  ,1.413e+02   ,-73.967  ,18  ,209
9447  ,1.417e+02   ,-62.858  ,18  ,209
9448  ,1.418e+02   ,-52.387  ,18  ,209
9449  ,1.415e+02   ,-41.185  ,18  ,209
9450  ,1.414e+02   ,-28.415  ,18  ,209
9451  ,1.417e+02   ,-15.843  ,18  ,209
9452  ,1.421e+02   ,-4.4026  ,18  ,209
9453  ,1.420e+02   ,6.6368  ,18  ,209
9454  ,1.416e+02   ,18.149  ,18  ,209
9455  ,1.414e+02   ,30.885  ,18  ,209
9456  ,1.416e+02   ,43.521  ,18  ,209
9457  ,1.418e+02   ,54.366  ,18  ,209
9458  ,1.417e+02   ,64.859  ,18  ,209
9459  ,1.412e+02   ,76.274  ,18  ,209
9460  ,1.408e+02   ,89.227  ,18  ,209
9461  ,1.408e+02   ,101.86  ,18  ,209
9462  ,1.409e+02   ,112.25  ,18  ,209
9463  ,1.407e+02   ,122.01  ,18  ,209
9464  ,1.401e+02   ,132.54  ,18  ,209
9465  ,1.395e+02   ,145.41  ,18  ,209
9466  ,1.394e+02   ,159.87  ,18  ,209
9467  ,1.398e+02   ,171.92  ,18  ,209
9468  ,1.401e+02   ,182.26  ,18  ,209
9469  ,1.399e+02   ,192.37  ,18  ,209
9470  ,1.396e+02   ,203.57  ,18  ,209
9471  ,1.394e+02   ,216.53  ,18  ,209
9472  ,1.397e+02   ,229.03  ,18  ,209
9473  ,1.399e+02   ,239.78  ,18  ,209
9474  ,1.396e+02   ,250.04  ,18  ,209
9475  ,1.391e+02   ,261.32  ,18  ,209
9476  ,1.388e+02   ,274.54  ,18  ,209
9477  ,1.388e+02   ,287.61  ,18  ,209
9478  ,1.389e+02   ,298.85  ,18  ,209
9479  ,1.384e+02   ,309.55  ,18  ,209
9480  ,1.378e+02   ,320.88  ,18  ,209
9481  ,1.372e+02   ,334  ,18  ,209
9482  ,1.371e+02   ,346.6  ,18  ,209
9483  ,1.369e+02   ,357.19  ,18  ,209
9484  ,1.364e+02   ,367.63  ,18  ,209
9485  ,1.355e+02   ,379.27  ,18  ,209
9486  ,1.347e+02   ,392.77  ,18  ,209
9487  ,1.343e+02   ,405.23  ,18  ,209
9488  ,1.340e+02   ,415.66  ,18  ,209
9489  ,1.332e+02   ,425.47  ,18  ,209
9490  ,1.322e+02   ,436.17  ,18  ,209
9491  ,1.322e+02   ,449  ,18  ,191.54
9492  ,1.334e+02   ,449  ,18  ,168.53
9493  ,1.348e+02   ,449  ,18  ,139.53
9494  ,1.359e+02   ,449  ,18  ,108.6
9495  ,1.367e+02   ,449  ,18  ,77.618
9496  ,1.372e+02   ,449  ,18  ,46.638
9497  ,1.375e+02   ,449  ,18  ,15.658
9498  ,1.375e+02   ,449  ,18  ,-15.321
9499  ,1.372e+02   ,449  ,18  ,-46.301
9500  ,1.367e+02   ,449  ,18  ,-77.28
9501  ,1.359e+02   ,449  ,18  ,-108.26
9502  ,1.348e+02   ,449  ,18  ,-139.2
9503  ,1.334e+02   ,449  ,18  ,-168.3
9504  ,1.322e+02   ,449  ,18  ,-191.45
9505  ,1.388e+02   ,-423.02  ,18  ,-92.284
9506  ,1.378e+02   ,-423.07  ,18  ,-124.23
9507  ,1.395e+02   ,-423.02  ,18  ,-61.494
9508  ,1.399e+02   ,-423.02  ,18  ,-30.704
9509  ,1.382e+02   ,398.95  ,18  ,-140.69
9510  ,1.378e+02   ,423.07  ,18  ,-124.02
9511  ,1.382e+02   ,-398.93  ,18  ,-140.8
9512  ,1.398e+02   ,-423.02  ,18  ,30.877
9513  ,1.400e+02   ,-423.02  ,18  ,0.08644
9514  ,1.378e+02   ,-423.05  ,18  ,124.28
9515  ,1.388e+02   ,-423.02  ,18  ,92.457
9516  ,1.395e+02   ,-423.02  ,18  ,61.667
9517  ,1.382e+02   ,-398.84  ,18  ,141.17
9518  ,1.388e+02   ,423.02  ,18  ,92.48
9519  ,1.378e+02   ,422.42  ,18  ,124.92
9520  ,1.395e+02   ,423.02  ,18  ,61.694
9521  ,1.398e+02   ,423.02  ,18  ,30.907
9522  ,1.400e+02   ,423.02  ,18  ,0.12096
9523  ,1.399e+02   ,423.02  ,18  ,-30.665
9524  ,1.395e+02   ,423.02  ,18  ,-61.452
9525  ,1.388e+02   ,423.02  ,18  ,-92.238
9526  ,1.381e+02   ,394.73  ,18  ,144.59
9527  ,1.390e+02   ,375.07  ,18  ,-153.57
9528  ,1.459e+02   ,42.116  ,18  ,131.73
9529  ,1.447e+02   ,26.585  ,18  ,155.11
9530  ,1.454e+02   ,-113.88  ,18  ,-129.05
9531  ,1.443e+02   ,-91.812  ,18  ,-149.13
9532  ,1.443e+02   ,188.08  ,18  ,-134.2
9533  ,1.428e+02   ,214.6  ,18  ,-151.07
9534  ,1.442e+02   ,234.58  ,18  ,128.14
9535  ,1.431e+02   ,209.89  ,18  ,145.36
9536  ,1.441e+02   ,244.21  ,18  ,-132.65
9537  ,1.422e+02   ,268.98  ,18  ,-152
9538  ,1.450e+02   ,99.183  ,18  ,133.5
9539  ,1.441e+02   ,83.459  ,18  ,155.15
9540  ,1.451e+02   ,120.88  ,18  ,-133.57
9541  ,1.427e+02   ,153.75  ,18  ,-152.79
9542  ,1.452e+02   ,82.567  ,18  ,-132.58
9543  ,1.440e+02   ,96.427  ,18  ,-154.97
9544  ,1.452e+02   ,-123.06  ,18  ,127.84
9545  ,1.432e+02   ,-147.67  ,18  ,144.66
9546  ,1.440e+02   ,-247.87  ,18  ,-133.67
9547  ,1.428e+02   ,-218.19  ,18  ,-152.29
9548  ,1.431e+02   ,-298.04  ,18  ,-134.33
9549  ,1.422e+02   ,-270.52  ,18  ,-152.51
9550  ,1.389e+02   ,-375.4  ,18  ,-153.95
9551  ,1.409e+02   ,-345.21  ,18  ,-139.74
9552  ,1.404e+02   ,-371.29  ,18  ,126.55
9553  ,1.412e+02   ,-341.46  ,18  ,133.47
9554  ,1.440e+02   ,-198.38  ,18  ,-131.7
9555  ,1.442e+02   ,-171.2  ,18  ,-128.49
9556  ,1.426e+02   ,-156.86  ,18  ,-155.72
9557  ,1.438e+02   ,-250.8  ,18  ,135.48
9558  ,1.420e+02   ,-276.48  ,18  ,153.05
9559  ,1.463e+02   ,-12.795  ,18  ,130.32
9560  ,1.447e+02   ,-26.561  ,18  ,155.07
9561  ,1.449e+02   ,127.1  ,18  ,128.81
9562  ,1.408e+02   ,324.86  ,18  ,152.77
9563  ,1.432e+02   ,293.54  ,18  ,132.29
9564  ,1.411e+02   ,344.95  ,18  ,135.89
9565  ,1.404e+02   ,371.7  ,18  ,125.86
9566  ,1.410e+02   ,344.93  ,18  ,-139.48
9567  ,1.429e+02   ,-308.77  ,18  ,128.92
9568  ,1.420e+02   ,274.01  ,18  ,153.97
9569  ,1.425e+02   ,319.72  ,18  ,-121.16
9570  ,1.435e+02   ,259.55  ,18  ,131.06
9571  ,1.444e+02   ,180.99  ,18  ,131.77
9572  ,1.430e+02   ,151.57  ,18  ,146
9573  ,1.460e+02   ,68.123  ,18  ,129.99
9574  ,1.443e+02   ,-196.79  ,18  ,125.51
9575  ,1.431e+02   ,-217.59  ,18  ,145.8
9576  ,1.452e+02   ,-33.124  ,18  ,-144.76
9577  ,1.465e+02   ,-8.2783  ,18  ,-129.21
9578  ,1.459e+02   ,-42.241  ,18  ,131.77
9579  ,1.431e+02   ,297.13  ,18  ,-134.5
9580  ,1.425e+02   ,-319.76  ,18  ,-121.14
9581  ,1.440e+02   ,-139.93  ,18  ,-131.82
9582  ,1.463e+02   ,-61.12  ,18  ,-129.52
9583  ,1.463e+02   ,12.44  ,18  ,130.39
9584  ,1.460e+02   ,-67.639  ,18  ,129.59
9585  ,1.451e+02   ,-98.378  ,18  ,132.35
9586  ,1.463e+02   ,53.9  ,18  ,-130.04
9587  ,1.441e+02   ,-170.37  ,18  ,130
9588  ,1.456e+02   ,21.744  ,18  ,-137.55
9589  ,1.404e+02   ,232.49  ,18  ,-198.51
9590  ,1.403e+02   ,222.16  ,18  ,-195.7
9591  ,1.404e+02   ,207.31  ,18  ,-194.56
9592  ,1.406e+02   ,194.4  ,18  ,-197
9593  ,1.405e+02   ,173.09  ,18  ,-197.83
9594  ,1.403e+02   ,162.54  ,18  ,-195.39
9595  ,1.408e+02   ,133.67  ,18  ,-196.47
9596  ,1.416e+02   ,110.56  ,18  ,-197.07
9597  ,1.417e+02   ,84.835  ,18  ,-195.27
9598  ,1.420e+02   ,73.143  ,18  ,-197.01
9599  ,1.424e+02   ,62.656  ,18  ,-197.37
9600  ,1.425e+02   ,51.856  ,18  ,-197.34
9601  ,1.447e+02   ,43.075  ,18  ,-156.9
9602  ,1.427e+02   ,4.013  ,18  ,-198.49
9603  ,1.427e+02   ,-5.7785  ,18  ,-198.28
9604  ,1.424e+02   ,-15.639  ,18  ,-197.51
9605  ,1.423e+02   ,-28.234  ,18  ,-194.57
9606  ,1.424e+02   ,-42.74  ,18  ,-195.62
9607  ,1.425e+02   ,-53.93  ,18  ,-197.66
9608  ,1.423e+02   ,-64.206  ,18  ,-198.15
9609  ,1.420e+02   ,-73.867  ,18  ,-196.56
9610  ,1.417e+02   ,-86.898  ,18  ,-194.25
9611  ,1.416e+02   ,-100.35  ,18  ,-196.02
9612  ,1.416e+02   ,-112.11  ,18  ,-196.71
9613  ,1.408e+02   ,-135  ,18  ,-195.83
9614  ,1.437e+02   ,-124.94  ,18  ,-157.44
9615  ,1.405e+02   ,-195.19  ,18  ,-197.24
9616  ,1.342e+02   ,-421.13  ,18  ,197.64
9617  ,1.405e+02   ,-242.62  ,18  ,-198.04
9618  ,1.402e+02   ,-252.24  ,18  ,-198.24
9619  ,1.399e+02   ,-263.69  ,18  ,-195.36
9620  ,1.396e+02   ,-301.41  ,18  ,-196.22
9621  ,1.390e+02   ,-311.63  ,18  ,-197.8
9622  ,1.378e+02   ,-349.92  ,18  ,-196.46
9623  ,1.374e+02   ,-360.79  ,18  ,-199.02
9624  ,1.367e+02   ,-372.69  ,18  ,-196.68
9625  ,1.360e+02   ,-385.86  ,18  ,-193.31
9626  ,1.352e+02   ,-399.98  ,18  ,-196.37
9627  ,1.348e+02   ,-410.93  ,18  ,-198.08
9628  ,1.343e+02   ,-421.14  ,18  ,-197.45
9629  ,1.331e+02   ,-432.55  ,18  ,-198.04
9630  ,1.396e+02   ,-291.08  ,18  ,-197.2
9631  ,1.403e+02   ,-222.53  ,18  ,-195.84
9632  ,1.341e+02   ,-432.52  ,18  ,-182.21
9633  ,1.363e+02   ,-423.8  ,18  ,-156.46
9634  ,1.405e+02   ,242.12  ,18  ,-198.14
9635  ,1.402e+02   ,251.58  ,18  ,-198.28
9636  ,1.342e+02   ,-431.38  ,18  ,182.05
9637  ,1.399e+02   ,263.01  ,18  ,-195.39
9638  ,1.397e+02   ,278.39  ,18  ,-194.39
9639  ,1.331e+02   ,-432.6  ,18  ,197.99
9640  ,1.395e+02   ,290.54  ,18  ,-197.68
9641  ,1.364e+02   ,-422.41  ,18  ,157.97
9642  ,1.395e+02   ,301.2  ,18  ,-197.2
9643  ,1.390e+02   ,311.39  ,18  ,-197.69
9644  ,1.359e+02   ,-385.48  ,18  ,194.54
9645  ,1.384e+02   ,323.1  ,18  ,-195.84
