Resistencia (1-15);Potência Ajustada (W)
1;40.53028913847774
2;40.53028913847774
3;40.53028913847774
4;40.53028913847774
5;40.53028913847774
6;38.74277277127585
7;38.74277277127585
8;38.74277277127585
9;38.74277277127585
10;38.74277277127585
11;40.72693809024638
12;40.72693809024638
13;40.72693809024638
14;40.72693809024638
15;40.72693809024638
