Node;Value (Celsius);X (mm);Y (mm);Z (mm)
11224;146.1;349.5467706013363;18;420.0
11225;145.3;359.5900890868597;18;420.0
11226;144.7;369.6293986636971;18;420.0
11227;144.0;379.6687082405345;18;420.0
11228;143.2;389.7080178173719;18;420.0
11229;142.3;399.7473273942093;18;420.0
11230;141.5;409.78663697104673;18;420.0
11231;140.8;419.82594654788426;18;420.0
11232;140.2;429.8652561247216;18;420.0
11233;139.5;439.9045657015591;18;420.0
11234;138.7;449.9440296213809;18;420.0
11235;137.8;459.98338530066815;18;420.0
11236;137.0;470.02249443207126;18;420.0
11237;136.3;480.06180400890867;18;420.0
11238;135.6;490.10111358574613;18;420.0
11239;134.9;500.1404231625835;18;420.0
11240;134.1;510.1797327394209;18;420.0
11241;133.1;520.2190423162584;18;420.0
11242;132.3;530.2583518930958;18;420.0
11243;131.5;540.2976614699331;18;420.0
11244;130.8;550.3329621380847;18;420.0
11245;130.1;560.3552338530067;18;420.0
11246;129.1;570.3273942093541;18;420.0
11247;128.0;580.3296213808462;18;420.0
11248;126.9;590.3619153674833;18;420.0
11249;125.8;600.4042316258351;18;420.0
11250;124.7;610.4465478841871;18;420.0
11251;123.7;620.488864142539;18;420.0
11252;122.9;630.511135857461;18;420.0
11253;122.0;640.5133630289533;18;420.0
11254;121.3;650.5256124721604;18;420.0
11255;120.6;660.5679287305122;18;420.0
11256;120.1;670.6102449888641;18;420.0
11257;119.5;680.6525612472161;18;420.0
11258;119.0;690.6247216035636;18;420.0
11259;118.3;700.5467706013363;18;420.0
11260;117.7;710.5389755011136;18;420.0
11261;117.2;720.5812917594656;18;420.0
11262;116.8;730.6236080178173;18;420.0
11263;116.4;740.6659242761692;18;420.0
11264;116.0;750.5077951002227;18;420.0
11265;115.5;760.2795100222717;18;420.0
11266;115.0;770.2516703786191;18;420.0
11267;114.6;780.283964365256;18;420.0
11268;114.3;790.326280623608;18;420.0
11269;114.0;800.3685968819598;18;420.0
11270;113.7;810.1002227171492;18;420.0
11271;113.3;819.7516703786192;18;420.0
11272;113.0;829.7238307349666;18;420.0
11273;112.7;839.7661469933184;18;420.0
11274;112.5;849.7984409799556;18;420.0
11275;112.3;859.8407572383074;18;420.0
11276;112.1;869.8830734966593;18;420.0
11277;111.8;879.9253897550111;18;420.0
11278;111.6;889.9576837416481;18;420.0
11279;111.5;900.0;18;410.0023923444976
11280;111.7;900.0;18;400.00478468899524
11281;111.8;900.0;18;389.9971291866029
11282;111.9;900.0;18;379.99952153110047
11283;112.0;900.0;18;370.00191387559806
11284;112.1;900.0;18;360.00430622009566
11285;112.2;900.0;18;349.99665071770335
11286;112.3;900.0;18;339.99904306220094
11287;112.4;900.0;18;330.00143540669853
11288;112.5;900.0;18;320.0038277511962
11289;112.6;900.0;18;310.0001913875598
11290;112.6;900.0;18;299.99956937799044
11291;112.7;900.0;18;289.9999521531101
11292;112.7;900.0;18;280.0003349282297
11293;112.8;900.0;18;269.9997129186603
11294;112.8;900.0;18;260.00009569377994
11295;112.9;900.0;18;250.00047846889953
11296;112.9;900.0;18;239.99985645933015
11297;112.9;900.0;18;230.00023923444977
11298;112.9;900.0;18;220.00001913875602
11299;112.9;900.0;18;209.9999999999999
11300;112.9;900.0;18;199.999980861244
11301;112.9;900.0;18;189.99976076555023
11302;112.9;900.0;18;180.00014354066985
11303;112.9;900.0;18;169.99952153110047
11304;112.8;900.0;18;159.9999043062201
11305;112.8;900.0;18;150.00028708133974
11306;112.7;900.0;18;139.99966507177035
11307;112.7;900.0;18;130.00004784688997
11308;112.6;900.0;18;120.00043062200957
11309;112.6;900.0;18;109.99980861244019
11310;112.5;900.0;18;99.99617224880383
11311;112.4;900.0;18;89.99856459330142
11312;112.3;900.0;18;80.00095693779905
11313;112.2;900.0;18;70.00334928229664
11314;112.1;900.0;18;59.99569377990432
11315;112.0;900.0;18;49.99808612440191
11316;111.9;900.0;18;40.00047846889952
11317;111.8;900.0;18;30.002870813397145
11318;111.7;900.0;18;19.995215311004788
11319;111.5;900.0;18;9.997607655502382
11320;120.4;667.2728285077951;18;8.741626794258362
11321;119.8;677.2951002227171;18;8.66124401913876
11322;120.9;657.2004454342984;18;8.741626794258362
11323;121.6;647.1982182628062;18;8.66124401913876
11324;122.4;637.4565701559019;18;8.600956937799046
11325;123.2;627.8452115812918;18;8.62105263157896
11326;124.1;617.9832962138084;18;8.66124401913876
11327;125.0;607.9610244988863;18;8.741626794258362
11328;126.2;597.8986636971047;18;8.741626794258362
11329;127.3;587.8363028953229;18;8.741626794258362
11330;128.4;577.8641425389756;18;8.671291866028703
11331;129.4;568.3229398663697;18;8.651196172248817
11332;130.3;558.6314031180401;18;8.651196172248817
11333;131.1;548.682293986637;18;8.711483253588504
11334;131.8;538.6319599109131;18;8.741626794258362
11335;132.5;528.566592427617;18;8.741626794258362
11336;133.4;518.5934298440981;18;8.671291866028703
11337;134.3;509.03819599109136;18;8.651196172248817
11338;135.1;499.3636971046771;18;8.651196172248817
11339;135.8;489.4015590200446;18;8.731578947368419
11340;136.4;479.3412026726058;18;8.741626794258362
11341;137.2;469.2758351893096;18;8.741626794258362
11342;138.0;459.3214142538976;18;8.641148325358847
11343;138.8;449.69570378619153;18;8.58086124401913
11344;139.6;440.0412694877506;18;8.651196172248817
11345;140.3;430.0747216035635;18;8.741626794258362
11346;140.9;420.0093541202673;18;8.741626794258362
11347;141.6;409.95;18;8.731578947368419
11348;142.4;400.0008908685969;18;8.641148325358847
11349;143.3;390.3614699331849;18;8.58086124401913
11350;144.1;380.73908685968826;18;8.641148325358847
11351;144.7;370.7839643652561;18;8.741626794258362
11352;145.4;360.7185968819599;18;8.741626794258362
11353;146.1;350.6672605790646;18;8.711483253588504
11354;147.0;340.72717149220495;18;8.641148325358847
11355;147.9;331.075723830735;18;8.58086124401913
11356;148.8;321.51447661469933;18;8.671291866028703
11357;149.6;311.5423162583519;18;8.741626794258362
11358;150.7;301.47995545657017;18;8.741626794258362
11359;151.9;291.4075723830735;18;8.741626794258362
11360;153.0;281.41536748329617;18;8.62105263157896
11361;154.1;271.5935412026726;18;8.66124401913876
11362;155.1;262.04231625835195;18;8.671291866028703
11363;155.7;252.21046770601336;18;8.641148325358847
11364;158.8;202.80066815144767;18;8.66124401913876
11365;158.2;212.30178173719378;18;8.66124401913876
11366;159.2;192.96881959910914;18;8.641148325358847
11367;159.5;182.956570155902;18;8.741626794258362
11368;160.8;153.02004454342986;18;8.66124401913876
11369;160.3;162.87193763919822;18;8.651196172248817
11370;161.1;143.55902004454344;18;8.66124401913876
11371;161.3;133.72717149220492;18;8.651196172248817
11372;161.5;113.6425389755011;18;8.741626794258362
11373;161.4;123.70489977728286;18;8.741626794258362
11374;161.7;103.61024498886414;18;8.681339712918648
11375;162.0;93.72828507795099;18;8.66124401913876
11376;162.1;84.29732739420938;18;8.66124401913876
11377;162.0;74.43541202672604;18;8.681339712918648
11378;161.9;64.413140311804;18;8.741626794258362
11379;161.8;54.34075723830738;18;8.741626794258362
11380;161.8;44.298440979955444;18;8.711483253588504
11381;161.8;34.386414253897556;18;8.66124401913876
11382;161.7;24.62472160356347;18;9.063157894736852
11383;161.4;15.163697104677055;18;8.681339712918648
11384;161.3;8.579064587973276;18;13.956459330143527
11385;161.4;13.870824053452091;18;411.42918660287086
11386;161.8;43.82739420935414;18;411.3086124401914
