Date:  22:03; quinta-feira; setembro 04; 2025
Model name: Prot 2
Study name: Thermal 2(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Celsius)  ,X (mm)  ,Y (mm)  ,Z (mm)
11168  ,1.950e+02   ,-449  ,18  ,-9.9524
11169  ,1.950e+02   ,-449  ,18  ,1.0598E-13
11170  ,1.950e+02   ,-449  ,18  ,9.9524
11171  ,1.950e+02   ,-449  ,18  ,19.905
11172  ,1.949e+02   ,-449  ,18  ,29.857
11173  ,1.949e+02   ,-449  ,18  ,39.81
11174  ,1.948e+02   ,-449  ,18  ,49.762
11175  ,1.947e+02   ,-449  ,18  ,59.714
11176  ,1.946e+02   ,-449  ,18  ,69.667
11177  ,1.945e+02   ,-449  ,18  ,79.619
11178  ,1.944e+02   ,-449  ,18  ,89.571
11179  ,1.943e+02   ,-449  ,18  ,99.524
11180  ,1.941e+02   ,-449  ,18  ,109.48
11181  ,1.940e+02   ,-449  ,18  ,119.43
11182  ,1.938e+02   ,-449  ,18  ,129.38
11183  ,1.936e+02   ,-449  ,18  ,139.33
11184  ,1.934e+02   ,-449  ,18  ,149.29
11185  ,1.932e+02   ,-449  ,18  ,159.24
11186  ,1.929e+02   ,-449  ,18  ,169.19
11187  ,1.927e+02   ,-449  ,18  ,179.14
11188  ,1.924e+02   ,-449  ,18  ,189.1
11189  ,1.921e+02   ,-449  ,18  ,199.05
11190  ,1.922e+02   ,-438.98  ,18  ,209
11191  ,1.926e+02   ,-428.97  ,18  ,209
11192  ,1.931e+02   ,-418.95  ,18  ,209
11193  ,1.933e+02   ,-408.93  ,18  ,209
11194  ,1.934e+02   ,-398.91  ,18  ,209
11195  ,1.936e+02   ,-388.9  ,18  ,209
11196  ,1.940e+02   ,-378.88  ,18  ,209
11197  ,1.943e+02   ,-368.93  ,18  ,209
11198  ,1.946e+02   ,-359.3  ,18  ,209
11199  ,1.948e+02   ,-349.6  ,18  ,209
11200  ,1.948e+02   ,-339.58  ,18  ,209
11201  ,1.950e+02   ,-329.56  ,18  ,209
11202  ,1.952e+02   ,-319.55  ,18  ,209
11203  ,1.955e+02   ,-309.6  ,18  ,209
11204  ,1.957e+02   ,-299.86  ,18  ,209
11205  ,1.958e+02   ,-290.04  ,18  ,209
11206  ,1.958e+02   ,-280.02  ,18  ,209
11207  ,1.959e+02   ,-270  ,18  ,209
11208  ,1.960e+02   ,-259.98  ,18  ,209
11209  ,1.963e+02   ,-250.03  ,18  ,209
11210  ,1.964e+02   ,-240.18  ,18  ,209
11211  ,1.964e+02   ,-230.26  ,18  ,209
11212  ,1.963e+02   ,-220.24  ,18  ,209
11213  ,1.963e+02   ,-210.23  ,18  ,209
11214  ,1.964e+02   ,-200.21  ,18  ,209
11215  ,1.966e+02   ,-190.19  ,18  ,209
11216  ,1.966e+02   ,-180.17  ,18  ,209
11217  ,1.965e+02   ,-170.16  ,18  ,209
11218  ,1.964e+02   ,-160.14  ,18  ,209
11219  ,1.964e+02   ,-150.12  ,18  ,209
11220  ,1.966e+02   ,-140.11  ,18  ,209
