Resistência (1-15);Potência Inicial (W);Potência Ajustada (W)
1;40.0;49.73290697674418
2;40.0;48.321845794392516
3;40.0;47.534174876847295
4;40.0;46.95144927536232
5;40.0;46.74965909090909
6;40.0;42.8072380952381
7;40.0;42.54194174757281
8;40.0;42.45810945273632
9;40.0;42.63106598984771
10;40.0;43.09410714285715
11;40.0;39.43966777408639
12;40.0;39.588198757763976
13;40.0;40.21966977745872
14;40.0;41.08962818003914
15;40.0;42.66438631790744
